web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,
"1556400703-720","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@SherazFarooqi_","Sheraz Farooqi","Is there a mental health issue that should be further discussed? Yes

Is there a gun control problem plaguing this nation, causing COUNTLESS deaths? DEFINITELY YES

Don’t conveniently point to mental health to disregard senseless deaths due to a lack of gun control
#GunControlNow","1","25","73","1518647809000","2:36 PM - 14 Feb 2018","/SherazFarooqi_/status/963904891650478081","null"
"1556400703-948","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@Kad1337","Kristal  🤓","This is going to bring up a gun control debate. Again. 

Nothing will change. Again. 

People will stop caring in a few days. Again.

Another shooting will happen. Again.

Gun control will be brought up. Again.

Nothing will change. Again. 

#stonemanshooting","59","2.0K","4.3K","1518642207000","1:03 PM - 14 Feb 2018","/Kad1337/status/963881396703031303","null"
"1556400703-1005","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@bunnyhugger75","Amy","I’m preemptively saying fuck your thoughts & prayers. We need gun control now. This nation is out of control w/their gun obsession and our children are dying every fucking day. #Parkland #Florida","39","133","422","1518638484000","12:01 PM - 14 Feb 2018","/bunnyhugger75/status/963865782198259712","null"
"1556400703-607","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@laurenacooley","Lauren Cooley","Barely 4 hours after this horrific tragedy & @SenBillNelson is exploiting it for his own political gain & is pushing #guncontrol. Absolutely disgusting! Get off the TV already!","20","57","138","1518650398000","3:19 PM - 14 Feb 2018","/laurenacooley/status/963915752591052800","null"
"1556400703-549","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@tiab2love","Lady Black  🖤 ❄️","When is enough enough for lawmakers to make some revisions on gun control?? At this point we need school shooting drills instead of fire drills
 #PrayForDouglas","1","16","25","1518651479000","3:37 PM - 14 Feb 2018","/tiab2love/status/963920285392146432","null"
"1556400703-1024","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@WTFisGoingOnDon","Don't Leave Blank","(Part 1) Everyone know that gun rights are only for white people #sarcasm

#nra #gunsense #guncontrol #GunControlNow #humor #funny #resist #resistancepic.twitter.com/Qin1v2MtQB","6","27","37","1518572209000","5:36 PM - 13 Feb 2018","/WTFisGoingOnDon/status/963587803857805318","null"
"1556400703-532","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@byshondaland","Shondaland","Donating to @MomsDemand and supporting candidates who reject the NRA are just a few ways you can help enact sensible #guncontrol. @jess_mc gives us a few more here:http://www.shondaland.com/act/a14452071/help-with-sensible-gun-control/ …","2","101","265","1518651762000","3:42 PM - 14 Feb 2018","/byshondaland/status/963921472354840576","null"
"1556400703-704","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@natehoIe","𝘕𝘢𝘵𝘦","In retrospect Sandy Hook marked the end of the US gun control debate. 

- Once America decided killing children was bearable, it was over.

Prayers won’t be enough for the children in Florida - or any other victim of gun violence.","12","277","467","1518648166000","2:42 PM - 14 Feb 2018","/natehoIe/status/963906388643799040","null"
"1556400703-764","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@The_Cherokee_","Cherokee Warrior  ❌","The #GunControlNow crowd want to ban ALL guns for all civilians which will NEVER happen. 

They somehow think criminals and crazies will follow the law. 

Stoneman Douglas shooting proves we need crazy people control not #guncontrol. 

Prayers Parkland Florida, Broward Country pic.twitter.com/Lp636F8ltP","14","41","71","1518646716000","2:18 PM - 14 Feb 2018","/The_Cherokee_/status/963900306177306624","null"
"1556400703-782","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@wish2wall","lucky","When there are no more tomorrows for today's children, how is today too soon to discuss gun violence and gun control?","8","218","588","1518646311000","2:11 PM - 14 Feb 2018","/wish2wall/status/963898611137355776","null"
"1556400703-1038","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@Bluegirl_3","Exploding Head","Because they're greedy and power hungry. Perhaps they use the membership dues to pay off politicians to fight gun control. https://twitter.com/osullivanauthor/status/963562338778464257 …","1","1","1","1518567436000","4:17 PM - 13 Feb 2018","/Bluegirl_3/status/963567783412977664","null"
"1556400703-584","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@BeauWillimon","Beau Willimon","When
Will
The @GOP
Stop
Being 
OWNED
By 
The @NRA
And
FINALLY
Do
ANYTHING
About 
#GunControl?

Never.

Their thoughts and prayers mean nothing. 

We must replace them all.","672","7.7K","23K","1518650862000","3:27 PM - 14 Feb 2018","/BeauWillimon/status/963917697397477376","null"
"1556400703-818","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@TaylorAmesMusic","TAÝLOR","Your prayers unfortunately do nothing positive to stop this happening again.

Gun control has to be stricter, how an educated adult cannot see this is crazy.

18 school shootings SO FAR this year, regardless of the motive behind this specific atrocity, surely this is 18 too many. https://twitter.com/realDonaldTrump/status/963878055969198080 …","","9","42","1518645557000","1:59 PM - 14 Feb 2018","/TaylorAmesMusic/status/963895448854515713","null"
"1556400703-949","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@Feisty_FL","Feisty ☀️Floridian","I saw #Parkland trending & see a school shooting. While our first thoughts & prayers are with the victims & 1st responders, Liberals knee jerk reaction is gun control. Apparently they are unaware that schools are gun free zones. But they never will let a good crisis go to waste.","19","97","172","1518642201000","1:03 PM - 14 Feb 2018","/Feisty_FL/status/963881372589883393","null"
"1556400703-648","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@Analisa_Swan","AnalisaSwan#DemForce","Dear GOP, 

Instead of sending your “thoughts & prayers”, which are literally worthless & don’t seem to work, please enact common sense gun control laws. 

Sincerely,

The rest of America not bought & sold by the NRA gun lobby. 

#DemForce #Dems #ParklandShooting #GunControlNow","1","33","42","1518649591000","3:06 PM - 14 Feb 2018","/Analisa_Swan/status/963912366604734464","null"
"1556400703-486","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@Nvr4Get91101","I Yam What I Yam","I blame everyone who supports commercial airlines, pilots commercial airlines, flies on commercial airlines for the deaths of 2,997 innocent men, women & children on 9/11... 

No, not really! But that's how stupid you #GunControl freaks sound.","3","22","57","1518652580000","3:56 PM - 14 Feb 2018","/Nvr4Get91101/status/963924903526305797","null"
"1556400703-944","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@BBCJonSopel","Jon Sopel","As America wrestles with another terrifying school shooting, the three words I feel certain we won't hear from @realDonaldTrump are 'tighter gun control' - #schoolshooting","15","56","182","1518642231000","1:03 PM - 14 Feb 2018","/BBCJonSopel/status/963881494983925760","null"
"1556400703-748","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@marygauthier_","Mary Gauthier","Children should never, ever have to go through this. This video should be mandatory viewing for all voters supporting @NRA backed candidates. We need gun control, now. https://twitter.com/melody_ball/status/963899789070028800 …","4","90","127","1518647117000","2:25 PM - 14 Feb 2018","/marygauthier_/status/963901990991552513","null"
"1556400703-887","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@treasonstickers","Treason Stickers","The NRA is heavily funded by Russia so Trump can’t say anything about gun control because his boss Vladimir Putin would release the pee pee tapes. This is one of many examples where Trump’s being compromised by Russia is causing national security threats in every community.","10","114","163","1518643772000","1:29 PM - 14 Feb 2018","/treasonstickers/status/963887959886905344","null"
"1556400703-910","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@warrant05_tony","Tony","Hard to believe people actually vote for people like you. You don’t know anything yet and already calling for gun control measures. You’re ignorance is breathtaking!!","19","80","259","1518643116000","1:18 PM - 14 Feb 2018","/warrant05_tony/status/963885210055176193","null"
"1556400703-660","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@krassenstein","Brian Krassenstein","RETWEET if you are sick and tired of ""Thoughts and Prayers"" when sensible gun control can end much of this sadness.

#FloridaShooting  
#GunControlNow","387","9.0K","8.3K","1518649260000","3:01 PM - 14 Feb 2018","/krassenstein/status/963910978231402497","null"
"1556400703-983","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@RandyResist","#𝙍𝘼𝙉𝘿𝙔𝙍𝙀𝙎𝙄𝙎𝙏","As I see these kids run for their lives I wonder are they going to become Gun Nuts or for gun control?

Tell kids THIS IS NOT NORMAL. LIFE WAS NEVER LIKE THIS UNTIL THE NRA BOUGHT THE REPUBLICAN PARTY.","12","123","225","1518640886000","12:41 PM - 14 Feb 2018","/RandyResist/status/963875854446051328","null"
"1556400703-685","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@NYCSpeakerCoJo","NYC Council Speaker Corey Johnson","I am devastated by the tragedy in Florida. My heart aches for the affected students, teachers and families. No child should ever feel unsafe in his or her school.

Congress cannot wait. Now is the time for comprehensive gun control.","1","15","59","1518648633000","2:50 PM - 14 Feb 2018","/NYCSpeakerCoJo/status/963908349053071363","null"
"1556400703-953","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@dmatthew1218","D. Matthew","As a Republican, I am sick and tired of seeing these shootings. How many more people must die?! I love the second amendment but we need SENSIBLE GUN CONTROL . No more lives!","40","39","397","1518642056000","1:00 PM - 14 Feb 2018","/dmatthew1218/status/963880762885005319","null"
"1556400703-872","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@eugene_kane","Raising Kane","If there had been 18 terrorist attacks since January 1, 2018 you can bet Trump would be calling for a ban on something.
Everything, in fact. #schoolshootings #guncontrol","11","17","53","1518644353000","1:39 PM - 14 Feb 2018","/eugene_kane/status/963890395573825536","null"
"1556400703-821","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@macyjean_","♡ macy  🔜 ubbi","at this point if you don’t think we need stricter gun control laws, you’re ignorant as hell","","18","60","1518645518000","1:58 PM - 14 Feb 2018","/macyjean_/status/963895281711534080","null"
"1556400703-1030","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@hndwrttnIttr","zizy bee  🌻","Please go watch One Day At a Time on Netflix. It talks about real and current issues (Immigration,LGBTQ+, mental illness, gun control) ,funny as all hell, and is full of representation. This show is incredibly important and deserves to be picked up for a 3rd Season.","2","","4","1518568222000","4:30 PM - 13 Feb 2018","/hndwrttnIttr/status/963571080249135104","null"
"1556400703-817","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@SedDelMar","Thirsty.","I overheard here the shooter felt sexually harassed. An administrator at the school attempted to deny him access to the grounds with his backpack due to previous threats made. It was at that point he opened fire.

We need a system overhaul. Let’s start with #guncontrol","4","16","26","1518645624000","2:00 PM - 14 Feb 2018","/SedDelMar/status/963895729126125569","null"
"1556400703-1026","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@cleflore23","UR a Smart Ass, Carl","The biggest threat to the #gunsense agenda are free thinking minorities who have walked off the #Democrat political plantation. It’s why when ever I or any other minority speak out on behalf of the #secondamendment, #GunControl denies our race, just like slave masters denied 1/2","2","6","17","1518568433000","4:33 PM - 13 Feb 2018","/cleflore23/status/963571966526611456","null"
"1556400703-882","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@CursedFrogurt37","Aaron Reed","If, god forbid, I am ever killed in one of America's never ending mass shootings. I INSIST THAT YOU POLITICIZE MY DEATH TO ENACT GUN CONTROL. SAME DAY SERVICE REQUESTED. Consider this binding.","2","35","176","1518644102000","1:35 PM - 14 Feb 2018","/CursedFrogurt37/status/963889343235424256","null"
"1556400703-441","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@laurenndiorio","Lauren","Enough is enough. Gun control is a MUST. “Guns don’t kill people” is a ridiculous statement. Making access so easy to something that can end lives is definitely NOT OKAY! #PrayForDouglas","1","8","43","1518652584000","3:56 PM - 14 Feb 2018","/laurenndiorio/status/963924921104715777","null"
"1556400703-860","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@KikkiPlanet","Kathleen Smith","And so the horrific cycle begins again; school shooting->calls for gun control->thoughts and prayers->NRA & GOP absolution of responsibility-> nothing changes. Because if Sandy Hook wasn’t enough to bring change nothing ever will be.","9","26","101","1518644604000","1:43 PM - 14 Feb 2018","/KikkiPlanet/status/963891451108081665","null"
"1556400703-555","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@RESISTAllDayOK","RESIST 🤡AllDay 🌊OK","Gun violence is a leading cause of death in the US.
Odds of dying:
Assault by gun: 1 in 370
Accidental gunshot: 1 in 6,904
Police enforcement: 1 in 8,719
Mass shooting : 1 in 15,325
#guncontrol 
Also:
Suicide: 1 in 95
Overdose: 1 in 96
#Mentalhealth #depression #EnoughIsEnoughpic.twitter.com/qIjII313fT","8","57","69","1518651360000","3:36 PM - 14 Feb 2018","/RESISTAllDayOK/status/963919784646656000","null"
"1556400703-515","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@_RyanTurek","Ryan Turek","This is just so awful and it’s goddamn worse there are a group of people that can prevent this time after time and they’re NOT. Fuck your thoughts and prayers and for not doing anything. GUN CONTROL NOW. https://twitter.com/cbseveningnews/status/963883348035817473 …","4","18","110","1518651984000","3:46 PM - 14 Feb 2018","/_RyanTurek/status/963922405130428417","null"
"1556400703-499","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@davelozo","DL","Colbert: Trump is danger to freedom!
Kimmel: Americans deserve healthcare!
Meyers: Gun control legislation please!
Fallon: Here's me and the cast of Just The Ten Of Us playing the show's theme song on kazoos!","9","42","315","1518652300000","3:51 PM - 14 Feb 2018","/davelozo/status/963923730329108480","null"
"1556400703-950","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@kelli__abbott","kelli","how about you do something about it and enforce GUN CONTROL. this is my home. https://twitter.com/realdonaldtrump/status/963878055969198080 …","","18","35","1518642153000","1:02 PM - 14 Feb 2018","/kelli__abbott/status/963881168600031233","null"
"1556400703-897","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@ChatByCC","CC","Of course Twitter is politicizing. With tens of thousands of less tweets the number three trend is gun control now.

Meanwhile, gun free zones make our children sitting ducks. pic.twitter.com/O525JQ10Cn","22","75","121","1518643542000","1:25 PM - 14 Feb 2018","/ChatByCC/status/963886996665126913","null"
"1556400703-901","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@Voize_of_Reazon","voize_of_reazon","Until we have some meaningful, common sense gun control laws, ALL Americans should offer 'Thoughts and Prayers' in lieu of paying their taxes.","3","27","73","1518643410000","1:23 PM - 14 Feb 2018","/Voize_of_Reazon/status/963886443151151104","null"
"1556400703-883","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@chaunceydevega","chauncey devega","America continues to sacrifice its children to the gun god. Now dozens dead and injured at #Parkland Florida. Why no gun control in America? The gun cult cannot be separated from white masculinity and what it means to be a ""real American"".","8","52","98","1518644094000","1:34 PM - 14 Feb 2018","/chaunceydevega/status/963889309635014656","null"
"1556400703-859","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@treasonstickers","Treason Stickers","Children are being murdered at schools.

Republicans refuse to entertain any form of gun control.

Republicans are working to make it EASIER to get automatic weapons.

This is because Republican politicians take millions from the NRA and would lose elections without their money.","23","154","208","1518644628000","1:43 PM - 14 Feb 2018","/treasonstickers/status/963891552077545472","null"
"1556400703-854","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@JulieDiCaro","Julie DiCaro","IDEA: If your reps don't support strict gun control, DON'T VOTE FOR THEM. And hold your friends and neighbors who do accountable for their votes.","4","20","78","1518644709000","1:45 PM - 14 Feb 2018","/JulieDiCaro/status/963891890281164801","null"
"1556400703-725","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@johnlundin","John Lundin  🌊","Is it still too early to talk about #GunSense? Asking for a friend.
#ThoughtsAndPrayers #Parkland #Florida #Shooting #Broward #StonemanDouglas #Columbine #GunControl pic.twitter.com/tdoBfbCrJ1","8","87","159","1518647709000","2:35 PM - 14 Feb 2018","/johnlundin/status/963904471406469121","null"
"1556400703-856","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@rabihalameddine","Rabih Alameddine","Is it still to early to talk about gun control?","5","22","98","1518644678000","1:44 PM - 14 Feb 2018","/rabihalameddine/status/963891761285251072","null"
"1556400703-457","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@BrianWithAnH","Brian H. Kim","Common argument against gun control is that evil people will always find a way to get guns. That even with restrictions, these shootings would continue. Because evil.

We have the most mass shootings. So are you arguing that the US houses the most evil people? Help me understand.","3","5","48","1518652775000","3:59 PM - 14 Feb 2018","/BrianWithAnH/status/963925722929668096","null"
"1556400703-893","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@ScottPresler","#ThePersistence","To anyone pushing for gun control while blood hasn't even dried yet:

Schools are gun-free zones & fewer victims would have been injured if we had trained teachers/security guards.
#Florida #GunControlNow","753","4.0K","9.8K","1518643611000","1:26 PM - 14 Feb 2018","/ScottPresler/status/963887283006066689","null"
"1556400703-659","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@sahluwal","Simar","If you’re following the tragedy at Parkland High School in Florida look at these staggering numbers & tell me we don’t have a gun epidemic. In 2018 alone we’ve seen: 

18 school shootings
29 mass shootings
1,796 total gun deaths
3,099 total injuries

#GunControl","241","3.9K","6.5K","1518649286000","3:01 PM - 14 Feb 2018","/sahluwal/status/963911086264131584","null"
"1556400703-768","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@BentleyRadio","Bentley","These issues will not go away. Mental health awareness & support and gun control policies can't be ignored. We have to take care of our kids & those with less of a voice. This is the time to make your voice heard & loudly. We can't become desensitized.","5","12","81","1518646641000","2:17 PM - 14 Feb 2018","/BentleyRadio/status/963899994452430850","null"
"1556400703-1011","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@AllisonMorris1","Allison Morris","That's because you use Uber had it been a @fonacabbelfast driver he'd have told you how to fix the talks and solved American gun control and the North Korean missile crisis during the journey","3","","30","1518626505000","8:41 AM - 14 Feb 2018","/AllisonMorris1/status/963815538970460160","null"
"1556400703-637","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@BryanDawsonUSA","Bryan Dawson","8/ Think of the many products, from cars to cribs, that used tragedies to improve safety through better design. Gun manufacturers were exempted from the 1972 Consumer Product Safety Act and lawsuits are usually futile.

#StonemanShooting #EnoughIsEnough #GunControl #Parklandpic.twitter.com/CqSOmWhK7Q","15","370","563","1518649794000","3:09 PM - 14 Feb 2018","/BryanDawsonUSA/status/963913219613085696","null"
"1556400703-701","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@_cingraham","Christopher Ingraham","59% of Americans support stricter gun laws. Last piece of gun control legislation passed by Congress was an NRA-backed bill on record-keeping in 2007. pic.twitter.com/KHDvCzJBpR","6","60","80","1518648253000","2:44 PM - 14 Feb 2018","/_cingraham/status/963906754143690752","null"
"1556400703-961","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@NYDailyNews","New York Daily News","At least 18 other school shootings have occurred nationwide this year, according to the gun control advocacy group @Everytown For Gun Safety. http://nydn.us/2Eqt1hw","11","48","24","1518641826000","12:57 PM - 14 Feb 2018","/NYDailyNews/status/963879798283100161","null"
"1556400703-1042","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@IanMMundell","Ian Mundell","Today is the 44th day of 2018. Due to gun violence:

390 children and teens killed or injured;
28 mass shootings;
38 officers shot/killed
1,761 deaths

I suggest sensible gun control is a more urgent issue, and that you are “playing politics with...safety” if you fail to act.","3","","15","1518567023000","4:10 PM - 13 Feb 2018","/IanMMundell/status/963566050603405313","null"
"1556400703-729","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@car_nove","Carly Novell","Maybe I would feel safe if there was gun control??? 2+2=7 https://twitter.com/realdonaldtrump/status/963878055969198080 …","98","2.0K","12K","1518647556000","2:32 PM - 14 Feb 2018","/car_nove/status/963903830516731904","null"
"1556400703-602","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@Education4Libs","Educating Liberals","Criminals. Illegal aliens. Cop-killers. Psychopaths. Democrats. Radical Muslims. Liberals. Gang members. Mentally ill. Etc. 

But the media still points the finger at the @NRA who is accountable for most of the responsible gun owners.

You will NEVER get our guns.

#GunControl","427","1.9K","4.2K","1518650519000","3:21 PM - 14 Feb 2018","/Education4Libs/status/963916257736015872","null"
"1556400703-544","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-02-14%20until%3A2018-02-15&src=typd&lang=en","@SpockResists","Mr. Spock  🖖","Nobody is saying we need to get rid of guns.

What we are saying is sort it out. Have control of who is buying them and why.

It's absolute insanity that one can buy a semi automatic machine gun.

The @NRA and their lobbyists have again teenage blood on their hands.

Fucked Up!!!","12","71","154","1518651584000","3:39 PM - 14 Feb 2018","/SpockResists/status/963920725907210240","null"
